Mr.	27.184775
Mrs.	21.866462
Dr.	13.093646
St.	12.127676
U.S.	11.977946
J.	10.304863
S.	10.235699
C.	9.107633
W.	8.579702
E.	8.463547
Jr.	8.226487
H.	8.072477
B.	7.728949
U.	7.549216
D.	7.482848
M.	7.377845
F.	7.320595
etc.	7.234321
R.	7.188189
Fig.	7.171685
L.	7.061645
p.m.	6.915470
U.N.	6.849919
Co.	6.566731
P.	6.234649
i.e.	6.228995
G.	6.225500
T.	5.969016
Sept.	5.530307
e.g.	5.373519
Sen.	5.202887
No.	5.195472
Oct.	5.026467
O.	4.938720
N.	4.937694
a.m.	4.935892
D.C.	4.749565
A.	4.630234
Gen.	4.555622
Nov.	4.353048
Aug.	4.353048
Rev.	4.338022
lb.	4.287468
Inc.	4.248140
B.C.	4.248140
Feb.	4.140574
Gov.	4.140574
Jan.	4.117593
v.	3.916591
Dec.	3.916591
Calif.	3.916591
K.	3.807260
V.	3.782221
fig.	3.666064
vs.	3.627267
Rep.	3.424960
Ave.	3.424960
A.L.A.M.	3.424960
N.Y.	3.290595
A.M.	3.290595
Ill.	3.290595
p.	3.278091
Mass.	3.174924
Corp.	3.135403
cm.	3.117088
Pa.	3.102629
mg.	3.029690
A.D.	3.003888
Figs.	3.003888
gm.	2.972211
mm.	2.924694
Av.	2.849739
Fla.	2.849739
figs.	2.849739
ft.	2.782956
Q.	2.755616
P.M.	2.686759
Sec.	2.686759
N.C.	2.686759
Op.	2.686759
Lt.	2.686759
Mo.	2.513233
U.S.S.R.	2.513233
Ala.	2.513233
cf.	2.513233
Sr.	2.513233
Y.	2.456440
Col.	2.326802
Va.	2.326802
m.p.h.	2.326802
Tex.	2.326802
Drs.	2.124070
I.Q.	2.124070
Ariz.	2.124070
U.N.F.P.	2.124070
S.K.	2.124070
Ga.	2.124070
lbs.	2.124070
O.E.C.D.	2.124070
Ltd.	2.124070
Pp.	2.124070
Md.	2.124070
Capt.	2.124070
Mt.	2.124070
La.	2.120089
cu.	2.101670
U.S.A.	1.899826
pp.	1.899826
Prof.	1.899826
Hon.	1.899826
Stat.	1.899826
Ch.	1.899826
cc.	1.899826
sq.	1.899826
Ref.	1.899826
dia.	1.899826
M.A.	1.899826
Blvd.	1.899826
Atty.	1.899826
chap.	1.874782
hr.	1.724521
H.M.S.	1.645297
A.M.A.	1.645297
Bldg.	1.645297
Dist.	1.645297
Okla.	1.645297
Rd.	1.645297
Ore.	1.645297
P.D.I.	1.645297
F.D.R.	1.645297
D.A.	1.645297
i.d.	1.645297
Dept.	1.645297
Mich.	1.645297
eqn.	1.645297
Kan.	1.645297
Conn.	1.645297
A.B.	1.645297
sec.	1.645297
U.M.C.I.A.	1.645297
Messrs.	1.616380
Mar.	1.587462
al.	1.442873
D.W.	1.343380
U.S.C.	1.343380
oz.	1.343380
R.H.	1.343380
N.J.	1.343380
Ind.	1.343380
Rte.	1.343380
Reps.	1.343380
Wm.	1.343380
ca.	1.343380
Ky.	1.343380
Prop.	1.343380
Vol.	1.343380
ex-Mrs.	1.343380
J.D.H.	1.343380
Mont.	1.343380
B.A.	1.343380
Assn.	1.343380
F.B.I.	1.343380
M.P.	1.343380
kc.	1.343380
E.G.T.	1.343380
I.R.S.	1.343380
H.M.	1.343380
Supt.	1.343380
F.R.	1.343380
T.W.	1.343380
S.C.	1.343380
pl.	1.343380
Eq.	1.343380
dept.	1.343380
O.K.	1.343380
