Mr.	843.000000
Mrs.	533.000000
Dr.	191.000000
St.	159.000000
U.S.	152.000000
J.	116.000000
S.	114.000000
A.	110.000000
C.	96.000000
E.	86.000000
W.	83.000000
B.	72.000000
H.	70.000000
Jr.	68.000000
D.	65.000000
R.	61.000000
U.	61.000000
M.	61.000000
F.	59.000000
Fig.	57.000000
L.	54.000000
No.	53.000000
U.N.	46.000000
p.m.	44.000000
i.e.	43.000000
P.	43.000000
G.	42.000000
Co.	42.000000
Sept.	34.000000
e.g.	31.000000
Sen.	30.000000
O.	29.000000
N.	28.000000
Oct.	28.000000
T.	27.000000
etc.	23.000000
a.m.	23.000000
Gen.	23.000000
Rev.	22.000000
Nov.	21.000000
Aug.	21.000000
Feb.	19.000000
Jan.	19.000000
Gov.	19.000000
Inc.	18.000000
lb.	17.000000
v.	17.000000
B.C.	17.000000
Dec.	17.000000
K.	17.000000
vs.	15.000000
p.	15.000000
I.	15.000000
V.	14.000000
fig.	14.000000
Rep.	13.000000
D.C.	13.000000
A.L.A.M.	13.000000
-hr.	12.000000
Ave.	12.000000
cm.	11.000000
mg.	11.000000
Figs.	10.000000
A.M.	10.000000
no.	10.000000
Mass.	9.000000
A.D.	9.000000
ft.	9.000000
figs.	9.000000
Ill.	9.000000
Calif.	9.000000
mm.	9.000000
N.Y.	8.000000
Fla.	8.000000
Sec.	8.000000
Op.	8.000000
Lt.	8.000000
Col.	7.000000
P.M.	7.000000
cf.	7.000000
N.C.	7.000000
Corp.	7.000000
gm.	6.000000
Sr.	6.000000
O.K.	6.000000
Drs.	5.000000
Av.	5.000000
Va.	5.000000
Ariz.	5.000000
cu.	5.000000
S.K.	5.000000
Pp.	5.000000
Capt.	5.000000
in.	5.000000
-in.	5.000000
Mt.	5.000000
U.S.S.R.	4.000000
I.Q.	4.000000
pp.	4.000000
Prof.	4.000000
Hon.	4.000000
Stat.	4.000000
Ch.	4.000000
cc.	4.000000
sq.	4.000000
Ref.	4.000000
m.p.h.	4.000000
lbs.	4.000000
dia.	4.000000
M.A.	4.000000
Atty.	4.000000
Ltd.	4.000000
Tex.	4.000000
Mo.	3.000000
H.M.S.	3.000000
hr.	3.000000
Ala.	3.000000
